	Question	Answer 1	Answer 2	Answer 3	Answe 4	Correct
19	"In Washington State at night, you must use _________ whenever you're following another vehicle within 300 feet."	emergency flashers	high beams	low beams	parking lights	3
20	You may not cross a single broken white (or yellow) line	When to do so would interfere with traffic	When turning left into a driveway	When the car in front is disabled	When passing to the right on a one-way street	1
21	Which of the following is true about vehicles displaying a diamond-shaped sign (indicating a hazardous load)?	They are not allowed to drive on freeways	They are not allowed to exceed 35 mph	They must stop before crossing railroad tracks	They always have the right-of-way	3
22	"When a yellow arrow appears as you are about to turn from a dedicated left turn lane, you should:"	Stop and not turn under any circumstances	Speed up to get through the intersection	Be prepared to obey the next signal that appears	Make a protected turn since you have the right-of-way over all vehicles and pedestrians	3
23	Which of the following does alcohol affect	Recovery from headlight glare	Reaction time.	Judgement of distances.	All of these choices.	4
24	Use your high-beam headlights at night:	As little as possible	Only on unlit streets	Whenever it is legal and safe	Always on a highway	3
25	Which of these statements is true about slippery road surfaces?	Bridges and overpasses freeze last	Bridges and overpasses freeze last	"On cold, wet days, shad from buildings or trees can hide spots of ice"	Hydroplaning can only happen to trucks	3
26	What is the basic speed law?	Never drive faster than is safe for current conditions	Never drive faster than the posted speed limits	Keep up with the flow of traffic	All of the above	1
27	A no parking sign at a certain location means	A no parking sign at a certain location means	You may stop temporarily to load or unload passengers.	You may park there if the driver remains in the vehicle.	You may park there if the driver remains in the vehicle.	2
28	Using the unpaved shoulder of the road to pass to the right of a car is permitted if:	The car ahead is waiting to turn left	It should never be done	Yo are turning right at the next corner	You are riding a motorcycle	2
29	"When you come to a corner with a stop sign, you should first stop:"	Far enough to see cross traffic	After crossing a crosswalk or limit line	In back of the crosswalk or limit line	At least five feet away from the stop sign	3
30	A safe speed to drive your car	Is the posted speed limit.	Is less than the posted speed limit.	Depends on the weather and rad conditions.	Depends on the mechanical skill of the driver.	3
31	A safe speed to drive your car	Should drive slower than other traffic for 200 feet	Need a large enough gap to get up to the speed of traffic	"Should wait for the first vehicle to pass, then pull into the lane"	Should expect other drivers to make room for you to enter traffic	2
32	You must carefully watch for bicycles in traffic lanes because they:	Usually have the right-of-way	could be hidden in your blind spots	Must ride facing oncoming traffic		2
33	Who has the right-of-way when a vehicle approaches a pedestrian at an intersection with no crosswalks?	The pedestrian	"The pedestrian, but only when he/she has the green"	"The vehicle, but it should slow down"	"The vehicle, if it has the green"	1
34	"When you are driving in the left lane of a four-lane freeway and wish to exit on the right, you should:"	Carefully cross all the lanes at one time	Accelerate so you travel faster than all other traffic on the highway	Slow before beginning each lane change	Change lanes one at a time until you are in the proper lane	4
35	"To turn right onto a two-way street from a two-way street, start in the right lane and end in:"	The left lane	The lane closest to the curb	Any lane that is available	All of the above	2
36	"If a green arrow turns into a green light, you:"	May still turn but you must yield to oncoming traffic	May no longer turn and must proceed straight	Still have the right of way to turn	No longer have to turn the way the arrow indicates	1
37	What should you do if your accelerator sticks while you are driving?	Concentrate on steering and seeing the road	Pump the accelerator and try to clear any obstruction	"Shift to neutral, break and stop off of the road, turn on flashers"	All of the above	4
38	"When driving through fog or rain, it is advisable to:"	Turn on your parking lights only	Turn on your four-way hazard lights	Turn on you headlights to low-beam		3
39	"If you need to slow down or stop when other drivers may not expect it, you should:"	Use your emergency brake	Look over you shoulder for traffic in your blind spot	Quickly tap your brake pedal a few times	Get ready to blow your horn	3
40	You may pass another vehicle on the right if it is waiting to	Turn right	Turn left	Park at the curb	Park at the curb	2
41	"Before you change lanes, you should:"	"Before you change lanes, you should:"	Check your mirrors and look over your shoulder	Check your mirrors and look over your shoulder	Only check your side mirrors	2
42	After you have passed a car you should return to the right lane when you	After you have passed a car you should return to the right lane when you	Have put your turn signal on.	Have turned your headlights on.	See the other car's headlights come on.	1
43	A person may ride in a pickup truck if the:	Pickup truck has a seat bolted to the frame	Person is accompanied by an adult	Sides of the pickup truck are at least 24 inches high	Pickup truck is equipped with a restraint system and the person uses it	4
44	Where should you start your u-turn on a street with two lanes in each direction?	Always use the center left turn lane	The left lane	The right lane	Any available lane	2
45	What should you do if you are driving and see an emergency vehicle with flashing lights behind you?	Drive to the right edge of the road and stop	Speed up to clear traffic	Stay in your lane but slow down	None of the above	1
46	Backing up your vehicle is:	Not dangerous if you have a helper	Always dangerous	Only dangerous in large vehicles	Illegal	2
47	"If you are parked parallel to the curb, you may get out of the car on the traffic side"	During the daytime when other drivers can see you.	When the traffic light at the closest intersection turns red.	When you won't interfere with oncoming vehicles.	If you use your four-way flasher first.	3
48	If you are repeatedly convicted of a traffic violation:	The DMV may consider an action against your driving privileges	The DMV may consider an action against your driving privileges	Both of the above may happen		3
49	Driving under the influence of any drug that makes you drive unsafely is permitted:	If it is not an illegal drug	If it is a prescription drug	Under no circumstances	As long as you drive slowly	3
50	Minimum speed signs are designed to	Keep traffic flowing smoothly.	Show current local road conditions	Test future traffic signal needs.	Assure pedestrian safety.	1
51	"If there are double solid yellow lines in the center of the roadway, you:"	May cross the lines to turn left into a private driveway	Are on a two-lane one-way street	Should treat the lines as a solid wall and not cross for any reason	May cross the lines to pass slower traffic	1
52	"If you rear-ended a car, you were probably:"	Looking in your rearview mirror too often	Weaving in and out of traffic	Following too closely	Following too closely	3
